번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
71,056730,CNT85,KOSDAQ,"2,024",12,건설,1.82,-,500,-,-,-,"74,111,186",-
72,056730,CNT85,KOSDAQ,"2,023",12,건설,2.14,-,500,-,-,-,"47,166,956",-
73,065770,CS,KOSDAQ,"2,022",12,통신장비,0.59,-,500,-,-,-,"19,411,130",-
74,065770,CS,KOSDAQ,"2,023",12,통신장비,0.53,-,500,-,-,-,"19,411,130",-
75,065770,CS,KOSDAQ,"2,024",12,전기·전자,0.51,-,500,-,-,-,"19,411,130",-
76,083660,CSA 코스믹,KOSDAQ,"2,022",12,화학,0.56,-,200,-,-,-,"39,451,193",-
77,083660,CSA 코스믹,KOSDAQ,"2,024",12,화학,0.6,-,200,-,-,-,"61,247,181",-
78,083660,CSA 코스믹,KOSDAQ,"2,023",12,화학,0.48,-,200,-,-,-,"61,247,181",-
79,000590,CS홀딩스,KOSPI,"2,023",12,기타금융,-,-,"5,000",500,0.8,2.432,"1,154,482","538,552,000"
80,000590,CS홀딩스,KOSPI,"2,024",12,기타금융,-,-,"5,000",500,0.7,1.361,"1,154,482","515,077,000"
81,000590,CS홀딩스,KOSPI,"2,022",12,기타금융,-,-,"5,000",500,0.8,2.972,"1,154,482","558,310,500"
82,012030,DB,KOSPI,"2,024",12,IT 서비스,-,-,500,-,-,-,"201,173,933",-
83,012030,DB,KOSPI,"2,022",12,일반서비스,0.78,-,500,-,-,-,"201,173,933",-
84,012030,DB,KOSPI,"2,023",12,일반서비스,0.87,-,500,-,-,-,"201,173,933",-
85,005830,DB손해보험,KOSPI,"2,024",12,보험,3.95,-,500,"6,800",7,22.032,"70,800,000","408,295,589,200"
86,005830,DB손해보험,KOSPI,"2,023",12,보험,3.78,-,500,"5,300",5.6,18.264,"70,800,000","318,230,385,700"
87,005830,DB손해보험,KOSPI,"2,022",12,보험,3.72,-,500,"4,600",6.8,27.955,"70,800,000","276,199,957,400"
88,016610,DB증권,KOSPI,"2,024",12,증권,3.56,-,"5,000",400,6.9,30.321,"42,446,389","16,051,555,600"
89,016610,DB증권,KOSPI,"2,022",12,증권,6.19,-,"5,000",170,3.7,64.368,"42,446,389","6,932,411,130"
90,016610,DB증권,KOSPI,"2,023",12,증권,3.7,-,"5,000",200,4.5,65.111,"42,446,389","8,155,777,800"
91,000990,DB하이텍,KOSPI,"2,023",12,전기·전자,1.25,-,"5,000",580,0.97,9.174,"44,398,588","24,233,955,840"
92,000990,DB하이텍,KOSPI,"2,024",12,전기·전자,1.59,-,"5,000","1,230",2.72,22.033,"44,398,588","50,540,816,400"
93,000990,DB하이텍,KOSPI,"2,022",12,전기·전자,1.8,-,"5,000","1,300",3.32,10.111,"44,398,588","56,504,612,200"
94,099520,DGI,KOSDAQ,"2,023",12,통신장비,0.53,-,500,-,-,-,"45,281,824",-
95,099520,DGI,KOSDAQ,"2,022",12,통신장비,0.59,-,500,-,-,-,"24,649,867",-
96,099520,DGI,KOSDAQ,"2,024",12,전기·전자,0.51,-,500,-,-,-,"45,281,824",-
97,060900,DGP,KOSDAQ,"2,024",12,전기·가스·수도,-,-,"1,000",-,-,-,"25,258,229",-
98,060900,DGP,KOSDAQ,"2,023",12,전기·가스·수도,-,-,"1,000",-,-,-,"25,258,229",-
99,060900,DGP,KOSDAQ,"2,022",12,전기·가스·수도,-,-,100,-,-,-,"182,276,104",-
100,000300,DH오토넥스,KOSPI,"2,023",12,전기·전자,1.25,-,500,-,-,-,"126,454,909",-
101,000300,DH오토넥스,KOSPI,"2,022",12,전기·전자,1.8,-,500,-,-,-,"120,998,774",-
102,000300,DH오토넥스,KOSPI,"2,024",12,전기·전자,1.59,-,500,-,-,-,"79,101,178",-
103,290120,DH오토리드,KOSDAQ,"2,024",12,운송장비·부품,1.48,-,500,80,3.6,53.989,"15,515,138","1,241,211,040"
104,290120,DH오토리드,KOSDAQ,"2,022",12,운송장비·부품,0.85,-,500,200,3.4,9.889,"11,654,512","2,359,732,200"
105,290120,DH오토리드,KOSDAQ,"2,023",12,운송장비·부품,0.89,-,500,-,-,-,"15,515,138",-
106,025440,DH오토웨어,KOSDAQ,"2,023",12,전기·전자,0.23,-,"2,500",-,-,-,"30,781,224",-
107,025440,DH오토웨어,KOSDAQ,"2,022",12,전기·전자,0.38,-,500,-,-,-,"142,500,000",-
108,025440,DH오토웨어,KOSDAQ,"2,024",12,전기·전자,0.51,-,500,-,-,-,"30,781,224",-
109,015590,DKME,KOSPI,"2,023",12,기계·장비,1.13,-,500,-,-,-,"236,931,544",-
110,015590,DKME,KOSPI,"2,024",12,기계·장비,1.55,-,500,-,-,-,"236,981,544",-
111,015590,DKME,KOSPI,"2,022",12,기계·장비,1.49,-,500,-,-,-,"231,211,638",-
112,000210,DL,KOSPI,"2,023",12,화학,2.11,-,"5,000","1,000",1.9,-18.763,"20,955,884","22,699,006,800"
113,000210,DL,KOSPI,"2,022",12,기타금융,-,-,"5,000","1,000",1.6,25.599,"20,955,884","22,699,007,800"
114,000210,DL,KOSPI,"2,024",12,화학,1.64,-,"5,000","1,000",3,23.934,"20,955,884","22,699,006,800"
115,375500,DL이앤씨,KOSPI,"2,022",12,건설,3.18,-,"5,000","1,000",2.7,9.798,"38,693,623","42,282,416,750"
116,375500,DL이앤씨,KOSPI,"2,023",12,건설,2.89,-,"5,000",500,1.4,9.983,"38,693,623","20,181,833,650"
117,375500,DL이앤씨,KOSPI,"2,024",12,건설,2.23,-,"5,000",540,1.7,10.046,"38,693,623","23,028,146,030"
118,068790,DMS,KOSDAQ,"2,024",12,기계·장비,0.68,-,500,100,1.61,5.599,"24,573,061","2,257,022,400"
119,068790,DMS,KOSDAQ,"2,023",12,기계·장비,0.49,-,500,90,1.3,6.629,"24,573,061","2,199,533,760"
120,068790,DMS,KOSDAQ,"2,022",12,기계·장비,0.77,-,500,125,2,9.399,"24,573,061","3,054,908,000"
121,007340,DN오토모티브,KOSPI,"2,022",12,전기·전자,1.8,-,500,"2,500",3.8,11.652,"9,994,005","21,545,312,500"
122,007340,DN오토모티브,KOSPI,"2,024",12,전기·전자,1.59,-,100,"1,000",4.6,16.266,"59,065,865","51,762,300,000"
123,007340,DN오토모티브,KOSPI,"2,023",12,전기·전자,1.25,-,500,"3,000",3.5,9.121,"9,994,005","25,854,375,000"
124,004840,DRB동일,KOSPI,"2,023",12,화학,2.11,-,500,100,1.7,8.818,"19,930,000","1,927,236,400"
125,004840,DRB동일,KOSPI,"2,024",12,화학,1.64,-,500,100,2.4,14.589,"19,930,000","1,927,236,400"
126,004840,DRB동일,KOSPI,"2,022",12,화학,2.41,-,500,40,0.9,21.795,"19,930,000","770,894,560"
127,241520,DSC인베스트먼트,KOSDAQ,"2,022",12,금융,1.62,-,500,-,-,-,"27,811,403",-
128,241520,DSC인베스트먼트,KOSDAQ,"2,023",12,금융,0.34,-,500,40,1.3,7.338,"27,811,403","1,071,845,000"
129,241520,DSC인베스트먼트,KOSDAQ,"2,024",12,금융,0.71,-,500,40,1.4,9.762,"27,496,125","1,032,158,760"
130,155660,DSR,KOSPI,"2,024",12,금속,2.46,-,500,70,1.7,7.717,"16,000,000","1,120,000,000"
