번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"2562","011500","한농화성","KOSPI","2024","12","화학","1.64",,"500","60","0.4","20.437","15637042","917641200"
"2563","002390","한독","KOSPI","2024","12","제약","0.21",,"500","200","1.7","-5.227","13763533","2752706600"
"2564","256150","한독크린텍","KOSDAQ","2024","12","기계·장비","0.68",,"500","250","4","53.286","8395000","1929496500"
"2565","092460","한라IMS","KOSDAQ","2024","12","운송장비·부품","1.48",,"500","300","3.65","35.737","17109680","4903104000"
"2566","053690","한미글로벌","KOSPI","2024","12","일반서비스","1.84",,"500","400","2.35","17.731","10957550","4056220000"
"2567","042700","한미반도체","KOSPI","2024","12","기계·장비","1.55",,"100","720","0.7","44.75","96614259","68294161440"
"2568","008930","한미사이언스","KOSPI","2024","12","기타금융",,,"500","200","0.69","23.888","68391550","13542741200"
"2569","128940","한미약품","KOSPI","2024","12","제약","0.21",,"2500","1000","0.37","9.029","12810991","12680214000"
"2570","452190","한빛레이저","KOSDAQ","2024","12","기계·장비","0.68",,"100",,,,"23162757",
"2571","047080","한빛소프트","KOSDAQ","2024","12","IT 서비스","0.72",,"500",,,,"24822362",
"2572","009240","한샘","KOSPI","2024","12","유통","2.73",,"1000","8530","16.6","93.69","23533928","141600746660"
"2573","452280","한선엔지니어링","KOSDAQ","2024","12","금속","1.34",,"500",,,,"17136600",
"2574","020000","한섬","KOSPI","2024","12","섬유·의류","2.68",,"500","750","5.1","37.187","23398500","16107745500"
"2575","003680","한성기업","KOSPI","2024","12","음식료·담배","2.63",,"5000",,,,"6209515",
"2576","066980","한성크린텍","KOSDAQ","2024","12","일반서비스","0.48",,"500",,,,"51935125",
"2577","105630","한세실업","KOSPI","2024","12","섬유·의류","2.68",,"500","500","3.81","33.729","40000000","19691419500"
"2578","069640","한세엠케이","KOSPI","2024","12","유통","2.73",,"500",,,,"30106502",
"2579","016450","한세예스24홀딩스","KOSPI","2024","12","섬유·의류","2.68",,"500","250","6.28","39.308","40000000","9820031750"
"2580","009180","한솔로지스틱스","KOSPI","2024","12","운송·창고","2.53",,"500","150","7.1","48.69","28155825","4222370100"
"2581","114810","한솔아이원스","KOSDAQ","2024","12","기계·장비","0.68",,"500",,,,"29113174",
"2582","070590","한솔인티큐브","KOSDAQ","2024","12","IT 서비스","0.72",,"500",,,,"13879521",
"2583","213500","한솔제지","KOSPI","2024","12","종이·목재","2.88",,"5000","500","5.91","-39.114","23800576","11889153400"
"2584","014680","한솔케미칼","KOSPI","2024","12","화학","1.64",,"5000","2100","2.3","18.605","11335195","23236909500"
"2585","004710","한솔테크닉스","KOSPI","2024","12","전기·전자","1.59",,"5000","150","3.9","20.333","32109878","4712627550"
"2586","010420","한솔피엔에스","KOSPI","2024","12","유통","2.73",,"500","25","2.1","22.007","20493012","512325300"
"2587","004150","한솔홀딩스","KOSPI","2024","12","기타금융",,,"1000","120","5.1","310.808","42008577","4923194280"
"2588","025750","한솔홈데코","KOSPI","2024","12","종이·목재","2.88",,"1000",,,,"80565149",
"2589","042520","한스바이오메드","KOSDAQ","2024","09","제약","0.42",,"500",,,,"13526367",
"2590","004960","한신공영","KOSPI","2024","12","건설","2.23",,"5000","100","1.51","7.84","11570702","1157552300"
"2591","011700","한신기계공업","KOSPI","2024","12","기계·장비","1.55",,"500","15","0.6","-101.931","32446151","485192265"
"2592","430690","한싹","KOSDAQ","2024","12","IT 서비스","0.72",,"500",,,,"10895327",
"2593","078350","한양디지텍","KOSDAQ","2024","12","전기·전자","0.51",,"500",,,,"15244382",
