Index,Ticker,Name,Currency,LastDividendDate,LastDividend,TTM_Dividend,TotalDividend_5y,EventsCount_5y,error
NASDAQ-100,BIIB,Biogen,USD,,,0.0,0.0,0,
NASDAQ-100,ADBE,Adobe Inc.,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,AMD,Advanced Micro Devices,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,ABNB,Airbnb,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,AMGN,Amgen,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,CPRT,Copart,USD,,,0.0,0.0,0,
NASDAQ-100,AZN,AstraZeneca,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,CHTR,Charter Communications,USD,,,0.0,0.0,0,
NASDAQ-100,CRWD,CrowdStrike,USD,,,0.0,0.0,0,
NASDAQ-100,AXON,Axon Enterprise,USD,,,0.0,0.0,0,
NASDAQ-100,DDOG,Datadog,USD,,,0.0,0.0,0,
NASDAQ-100,DXCM,DexCom,USD,,,0.0,0.0,0,
NASDAQ-100,ADSK,Autodesk,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,BKNG,Booking Holdings,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,FTNT,Fortinet,USD,,,0.0,0.0,0,
NASDAQ-100,CDNS,Cadence Design Systems,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,ISRG,Intuitive Surgical,USD,,,0.0,0.0,0,
NASDAQ-100,GFS,GlobalFoundries,USD,,,0.0,0.0,0,
NASDAQ-100,DASH,DoorDash,USD,,,0.0,0.0,0,
NASDAQ-100,IDXX,Idexx Laboratories,USD,,,0.0,0.0,0,
NASDAQ-100,CCEP,Coca-Cola Europacific Partners,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,CSGP,CoStar Group,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,LULU,Lululemon,USD,,,0.0,0.0,0,
NASDAQ-100,MSTR,MicroStrategy,USD,,,0.0,0.0,0,
NASDAQ-100,MNST,Monster Beverage,USD,,,0.0,0.0,0,
NASDAQ-100,EA,Electronic Arts,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,PLTR,Palantir Technologies,USD,,,0.0,0.0,0,
NASDAQ-100,PYPL,PayPal,USD,,,0.0,0.0,0,
NASDAQ-100,MELI,Mercado Libre,USD,,,0.0,0.0,0,
NASDAQ-100,NFLX,"Netflix, Inc.",USD,,,0.0,0.0,0,
NASDAQ-100,PANW,Palo Alto Networks,USD,,,0.0,0.0,0,
NASDAQ-100,LRCX,Lam Research,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,PDD,PDD Holdings,USD,,,0.0,0.0,0,
NASDAQ-100,SNPS,Synopsys,USD,,,0.0,0.0,0,
NASDAQ-100,TSLA,"Tesla, Inc.",USD,,,0.0,0.0,0,
NASDAQ-100,META,Meta Platforms,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,ORLY,O'Reilly Automotive,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,TTD,Trade Desk (The),USD,,,0.0,0.0,0,
NASDAQ-100,SHOP,Shopify,USD,,,0.0,0.0,0,
NASDAQ-100,WDAY,"Workday, Inc.",USD,,,0.0,0.0,0,
NASDAQ-100,ON,Onsemi,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,WBD,Warner Bros. Discovery,USD,,,0.0,0.0,0,
NASDAQ-100,VRTX,Vertex Pharmaceuticals,USD,,,0.0,0.0,0,
NASDAQ-100,TTWO,Take-Two Interactive,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,ZS,Zscaler,,,,0.0,0.0,0,failed after 5 attempts
NASDAQ-100,XEL,Xcel Energy,,,,0.0,0.0,0,failed after 5 attempts
